"SQL Editor","Go to matching bracket","⌃⇧P","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.gotoMatchingBracket"
"Text Editing","Show Tooltip Description","F2","Editing Text","org.eclipse.ui.edit.text.showInformation"
"Edit","Word Completion","⌃.","Editing Text","org.eclipse.ui.edit.text.hippieCompletion"
"Window","Next View","⌘F7","In Windows","org.eclipse.ui.window.nextView"
"Text Editing","Select Next Word","⌥⇧→","Editing Text","org.eclipse.ui.edit.text.select.wordNext"
"Result Set","Delete current row","⌥⌦","Results viewer context","org.jkiss.dbeaver.core.resultset.row.delete"
"Navigate","Backward History","⌥⌘←","In Windows","org.eclipse.ui.navigate.backwardHistory"
"Connection","Context tools","⌥`","In Windows","org.jkiss.dbeaver.ui.tools.menu"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows","org.eclipse.ui.navigate.nextSubTab"
"Edit","Copy","⌘C","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Navigate","Next Tab","⇧⌘]","In Dialogs and Windows","org.eclipse.ui.navigate.nextTab"
"Window","Close Dialog","⌘W","In Dialogs","org.eclipse.ui.cocoa.closeDialog"
"Search","Find Text in Workspace","⌥⌘G","In Windows","org.eclipse.search.ui.performTextSearchWorkspace"
"Edit","Word Completion","⌃⇧Space","SQL Editor Context","org.eclipse.ui.edit.text.hippieCompletion"
"Window","Show System Menu","⇧⌘F10","In Windows","org.eclipse.ui.window.showSystemMenu"
"Window","Previous Editor","⇧⌘F6","In Windows","org.eclipse.ui.window.previousEditor"
"Navigate","Open Resource","⇧⌘R","In Windows","org.eclipse.ui.navigate.openResource"
"Views","Show View (Outline)","⌥⌘Q O","In Windows","org.eclipse.ui.views.showView"
"Text Editing","To Upper Case","⇧⌘X","Editing Text","org.eclipse.ui.edit.text.upperCase"
"Window","Toggle Full Screen","⌃⌘F","In Windows","org.eclipse.ui.cocoa.fullscreenWindow"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows","org.eclipse.ui.window.showKeyAssist"
"Result Set","Switch presentation","⌃`","Results viewer context","org.jkiss.dbeaver.core.resultset.switchPresentation"
"Window","Switch to Editor","⇧⌘E","In Windows","org.eclipse.ui.window.switchToEditor"
"Result Set","Activate filter/data editor","⌃⌥⇧T","Results viewer context","org.jkiss.dbeaver.core.resultset.focus.filter"
"SQL Editor","Show server output","⌃⇧O","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.show.output"
"Result Set","Next row","⌃⌥→","Results viewer context","org.jkiss.dbeaver.core.resultset.row.next"
"Connection","SQL Editor","⌃[","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.open"
"SQL Editor","Toggle results panel","⌃6","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.toggle.result.panel"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.expand_all"
"File","New","⌘N","In Windows","org.eclipse.ui.newWizard"
"Window","Next Editor","⌘F6","In Windows","org.eclipse.ui.window.nextEditor"
"Connection","New SQL Editor","⌃F3","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.create"
"SQL Editor","Open Declaration","F4","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.navigate.object"
"SQL Editor","Explain Execution Plan","⌃⇧E","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.explain"
"View","Zoom In","⌘=","In Windows","org.eclipse.gef.zoom_in"
"Views","Show View (History)","⌥⌘Q Z","In Windows","org.eclipse.ui.views.showView"
"Edit","Paste","⌘V","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Text Editing","Zoom Out","⌘-","Editing Text","org.eclipse.ui.edit.text.zoomOut"
"Navigate","Forward History","⌘]","In Windows","org.eclipse.ui.navigate.forwardHistory"
"Text Editing","Next Word","⌥→","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"Connection","Open Database Object ...","⌃⇧D","In Windows","org.jkiss.dbeaver.core.object.goto"
"File","Close","⌘W","In Windows","org.eclipse.ui.file.close"
"Connection","Rollback","⌃8","In Windows","org.jkiss.dbeaver.core.rollback"
"Result Set","Fetch All Data","⌃⌥\","Results viewer context","org.jkiss.dbeaver.core.resultset.fetch.all"
"Text Editing","Text End","↘","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows","org.eclipse.ui.edit.redo"
"File","Save","⌘S","In Windows","org.eclipse.ui.file.save"
"Result Set","Toggle Grid/Record view","Tab","Results viewer context","org.jkiss.dbeaver.core.resultset.toggleMode"
"Text Editing","Delete Next Word","⌥⌦","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"Navigate","Previous Page","⌥⇧F7","In Windows","org.eclipse.ui.part.previousPage"
"Text Editing","Move Lines Down","⌃⇧↓","SQL Editor Context","org.eclipse.ui.edit.text.moveLineDown"
"Edit","Quick Fix","⌘1","In Dialogs and Windows","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"SQL Editor","Execute SQL in new tab","⌃\","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.statementNew"
"Quick Search","Quick Search","⌃⌥⇧F","In Windows","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"SQL Editor","Execute SQL Statement","⌘↩","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.statement"
"Result Set","Filter menu","F11","Results viewer context","org.jkiss.dbeaver.core.resultset.filterMenu"
"Text Editing","Expand","⌘Numpad_Add","Editing Text","org.eclipse.ui.edit.text.folding.expand"
"Result Set","Navigate link","⌥Space","Results viewer context","org.jkiss.dbeaver.core.resultset.navigateLink"
"Result Set","Filter by value","⌃F11","Results viewer context","org.jkiss.dbeaver.core.resultset.filterMenu.distinct"
"SQL Editor","Evaluate SQL expression","⌃⌥'","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.expression"
"Window","Find Actions","⌘3","In Windows","org.eclipse.ui.window.quickAccess"
